v1      chr  pos
@SQ     1    249250621
@SQ     2    243199373
@SQ     3    198022430
@SQ     4    191154276
@SQ     5    180915260
@SQ     6    171115067
@SQ     7    159138663
@SQ     8    146364022
@SQ     9    141213431
@SQ     10   135534747
@SQ     11   135006516
@SQ     12   133851895
@SQ     13   115169878
@SQ     14   107349540
@SQ     15   102531392
@SQ     16   90354753
@SQ     17   81195210
@SQ     18   78077248
@SQ     19   59128983
@SQ     20   63025520
@SQ     21   48129895
@SQ     22   51304566
@SQ     X   155270560
@SQ     Y   59373566
